ID,EARNINGS,S,EXP,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC
4275,18.5,12,9.711538,0,1,1984,27,24,64000,402,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,14,14,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.1240165,-0.6890168,-0.3050777,-0.2855563,-0.3558607,-0.7159587,-0.2054523,-0.3240111,-0.5305199,29818,70,155,186,12,12,12,12,1,0,0,1,0,0,1,0,6,50,4.769231,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
4328,19.23,17,5.711538,0,1,1982,29,32,6000,38,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,12,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.4469109,-0.0981771,-0.3037769,-0.548233,-1.205742,-0.1743928,0.1347132,-0.141461,-0.214745,46246,74,200,200,16,12,16,12,3,0,0,1,0,0,1,0,,50,9.057693,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0
8763,39.05,14,9.942307,0,1,1981,30,23,88252,555,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0.4177562,0.9479251,0.059644,0.2939251,0.0612613,-0.0672739,0.5060075,0.4804706,0.5369214,66480,72,168,190,16,6,,6,1,0,0,0,1,0,1,0,3,65,4.980769,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
8879,16.8,18,1.538462,0,1,1983,28,30,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7136975,-0.0594227,-0.0328808,-0.0594718,1.677242,0.3247573,0.366419,0.1566143,-0.0496154,51240,73,153,175,14,14,14,14,2,0,1,0,0,1,0,0,10,40,1.019231,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
1994,36.06,15,2.942308,0,1,1984,27,23,44188,278,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,11,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.543366,0.3308927,0.7791814,1.190146,0.2165398,0.2181599,1.152778,1.074925,0.591585,89773,71,145,170,14,16,14,16,1,0,0,0,1,0,1,0,7,40,2.346154,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2788,13.14,12,8.019231,0,1,1983,28,25,97400,612,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.7222221,1.01171,0.8045009,1.113033,-0.7572729,0.6925451,0.8955367,1.021164,0.9681515,86885,66,220,245,13,13,13,13,1,0,1,0,0,1,0,0,2,50,4.25,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3473,10,13,9.788462,0,1,1983,28,23,70751,445,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-2.585331,-0.6763769,-1.607559,-0.9319599,-1.313517,-0.0143555,-2.048863,-1.623991,-1.218363,8396,69,154,150,12,16,12,16,1,0,0,1,0,0,1,0,3,30,8.076923,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
268,12.79,14,7.711538,0,1,1981,30,26,71100,380,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,-0.298312,-0.1994731,-0.1905697,-0.4481668,-0.4603616,-1.068405,-0.2715672,-0.3186627,-0.208393,36454,70,175,185,11,11,12,11,3,1,0,0,0,0,1,0,8,43,0.7884616,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1239,20.19,14,6.846154,0,1,1983,28,25,246474,1627,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,10,6,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.863456,1.694685,2.235723,1.08865,0.8657922,0.5588324,2.103678,1.925311,2.095604,98479,71,175,180,16,20,16,20,1,0,1,0,0,0,1,0,6,40,3.884615,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2333,25.48,17,7.153846,0,1,1981,30,30,61300,373,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0.2898869,0.4971615,0.8225176,0.1963931,0.1903482,1.176971,0.5214975,0.5047343,0.7033626,72880,71,165,170,13,14,13,14,1,1,0,0,0,0,1,0,3,40,7.538462,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
6512,10,16,0.9807692,0,1,1983,28,27,123950,779,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,12,12,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2.467638,0.5313508,1.389445,2.194367,1.73956,1.210876,1.883506,1.841442,1.023924,92297,73,165,170,12,17,17,17,1,0,0,0,1,0,1,0,5,14,1.096154,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
487,19.65,16,2.730769,0,1,1984,27,28,75000,471,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,13,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1.578777,-0.3589122,-1.498319,-1.896956,-1.790818,-0.164277,-1.378437,-1.492957,-0.9908108,6538,72,280,224,12,14,12,14,1,0,0,0,1,0,1,0,4,40,2.807692,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
79,8,13,2.788461,0,1,1983,28,18,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,12,,0,1,0,0,,,,,0,0,1,0,0,0,1,0,0,0,-0.7152421,-1.103236,-1.028175,-1.66027,-0.3774311,-3.656701,-0.9792036,-1.261805,-1.137025,10563,66,150,165,14,11,14,,2,1,0,0,0,0,1,0,4,10,1.519231,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
3016,17.46,16,4.730769,0,1,1984,27,32,,,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,12,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.6983628,0.8909323,1.374134,-0.1933249,0.8146586,-0.1689523,1.005763,0.7745319,1.207516,84611,71,160,165,14,16,16,16,2,0,1,0,0,1,0,0,2,40,5.307693,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
649,31.73,18,4.923077,0,1,1982,29,28,77400,413,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.570518,-0.421452,-0.5918006,1.226427,0.1507418,-1.035889,0.0346679,0.2186724,-0.5407364,49154,70,180,200,14,14,14,14,2,0,1,0,0,0,1,0,9,40,3.884615,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2730,27.27,18,6.980769,0,1,1980,31,32,61760,375,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1.662593,0.8694142,0.8283687,1.679662,0.9819242,1.23818,1.379795,1.40973,0.9049966,91806,70,155,170,16,16,16,16,1,0,1,0,0,1,0,0,8,55,5.923077,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2050,16.92,19,5.884615,0,1,1981,30,30,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0.6148881,0.546108,-0.1349667,0.527154,-0.5025662,0.1655544,0.4504557,0.4339999,0.2188602,65383,69,195,194,16,13,16,13,2,0,0,1,0,0,1,0,9,50,5.326923,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
987,50.48,13,3.442308,0,1,1983,28,24,18900,150,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0.5623855,0.5768825,0.7555702,0.7886332,-0.6801175,-0.5301934,0.6747651,0.7502894,0.7101744,78318,70,205,225,18,12,,12,1,0,0,0,1,0,1,0,3,80,0.3846154,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
