id,name,parent_id
1,Technic,
2,Arctic Technic,1
3,Competition,1
4,Expert Builder,1
5,Model,1
6,Airport,5
7,Construction,5
8,Farm,5
9,Fire,5
10,Harbor,5
11,Off-Road,5
12,Race,5
13,Riding Cycle,5
14,Robot,5
15,Traffic,5
16,RoboRiders,1
17,Speed Slammers,1
18,Star Wars,1
19,Supplemental,1
20,Throwbot Slizer,1
21,Universal Building Set,1
22,Creator,
23,Basic Model,22
24,Airport,23
25,Castle,23
26,Construction,23
27,Race,23
28,Harbor,23
29,Train,23
30,Traffic,23
31,Creature,23
32,Robot,23
33,Food & Drink,23
34,Building,23
35,Cargo,23
37,Basic Set,22
38,Model,22
39,Traffic,38
40,Creature,38
42,Airport,38
43,Building,38
44,Recreation,38
45,Cargo,38
46,Harbor,38
48,Supplemental,22
49,Mecha,22
50,Town,
51,Arctic,50
52,City,50
53,Airport,52
54,Cargo,52
55,Coast Guard,52
56,Construction,52
57,Farm,52
58,Fire,52
59,Harbor,52
60,Hospital,52
61,Police,52
62,Supplemental,52
63,Traffic,52
64,Off-Road,52
65,Arctic,52
66,Trains,52
67,Classic Town,50
68,Airport,67
69,Building,67
70,Cargo,67
71,Coast Guard,67
72,Construction,67
73,Farm,67
74,Fire,67
75,Food & Drink,67
76,Station,67
77,Harbor,67
78,Hospital,67
79,Off-Road,67
80,Police,67
81,Post Office,67
82,Race,67
83,Recreation,67
84,Supplemental,67
85,Traffic,67
86,Divers,50
87,Extreme Team,50
88,Launch Command,50
89,Outback,50
90,Paradisa,50
91,Race,50
92,Res-Q,50
93,Space Port,50
94,Town Jr.,50
95,Cargo,94
96,Coast Guard,94
97,Construction,94
98,Fire,94
99,Gas Station,94
100,Police,94
101,Race,94
102,Supplemental,94
103,Traffic,94
104,Town Plan,50
105,World City,50
106,Airport,105
107,Coast Guard,105
108,Fire,105
111,Police,105
112,Racers,
113,Drome Racers,112
114,Ferrari,112
115,Lamborghini,112
116,Power Racers,112
117,Radio Control,112
118,Speed Racer,112
119,Supplemental,112
120,Tiny Turbos,112
121,Track System,112
122,Williams F1,112
123,World Racers,112
125,Xalax,112
126,Space,
127,Alien Conquest,126
128,Blacktron I,126
129,Blacktron II,126
130,Classic Space,126
131,Exploriens,126
132,Futuron,126
133,Ice Planet 2002,126
134,Insectoids,126
135,Life On Mars,126
136,M:Tron,126
137,Mars Mission,126
138,RoboForce,126
139,Space Police I,126
140,Space Police II,126
141,Space Police III,126
142,Spyrius,126
143,Supplemental,126
144,UFO,126
145,Unitron,126
146,Galaxy Squad,126
147,Pirates,
148,Pirates I,147
149,Imperial Armada,148
151,Imperial Soldiers,148
152,Islanders,148
153,Pirates II,147
154,Pirates III,147
155,Modular Buildings,
156,Mini,155
157,Bricktober,155
158,Star Wars,
171,Ultimate Collector Series,158
186,Castle,
187,Black Falcons,186
188,Black Knights,186
189,Classic Castle,186
190,Crusaders,186
191,Dark Forest,186
193,Fantasy Era,186
194,Forestmen,186
195,Fright Knights,186
196,Kingdoms,186
197,Knights Kingdom I,186
198,Knights Kingdom II,186
199,Lion Knights,186
200,My Own Creation,186
201,Royal Knights,186
202,Supplemental,186
203,Wolfpack,186
204,Designer Sets,
205,Building,204
206,Seasonal,
207,Advent,206
208,City,207
209,Star Wars,207
210,Belville,207
211,Castle,207
212,Classic Basic,207
213,Clikits,207
214,Creator,207
215,Pirates,207
216,Friends,207
227,Christmas,206
228,Creator,227
229,Easter,206
230,Halloween,206
231,Thanksgiving,206
232,Valentine,206
233,Train,
234,12V,233
235,4.5V,233
236,9V,233
237,My Own Creation,236
238,My Own Train,236
239,World City,236
240,RC Train,233
241,Supplemental,233
242,12V,241
243,4.5V,241
244,9V,241
245,RC Train,241
246,Harry Potter,
252,Architecture,
253,Skylines,252
254,Bulk Bricks,
255,Castle,254
256,Technic,254
257,Train,254
258,Mindstorms,
259,NXT,258
260,RCX,258
261,Star Wars,258
262,EV3,258
263,Pirates of the Caribbean,
264,Indiana Jones,
269,Cars,
270,Ben 10,
271,Prince of Persia,
272,SpongeBob SquarePants,
