MONTH,BTC_NEWS_SEARCH
2014-09,5
2014-10,4
2014-11,4
2014-12,4
2015-01,5
2015-02,4
2015-03,6
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,5
2016-01,4
2016-02,4
2016-03,5
2016-04,3
2016-05,6
2016-06,6
2016-07,6
2016-08,6
2016-09,5
2016-10,5
2016-11,5
2016-12,6
2017-01,9
2017-02,8
2017-03,12
2017-04,5
2017-05,15
2017-06,13
2017-07,14
2017-08,22
2017-09,26
2017-10,25
2017-11,50
2017-12,100
2018-01,62
2018-02,52
2018-03,30
2018-04,25
2018-05,21
2018-06,18
2018-07,18
2018-08,20
2018-09,17
2018-10,14
2018-11,23
2018-12,19
2019-01,15
2019-02,15
2019-03,14
2019-04,19
2019-05,26
2019-06,26
2019-07,21
2019-08,17
2019-09,15
2019-10,16
2019-11,14
2019-12,14
2020-01,16
2020-02,18
2020-03,15
2020-04,15
2020-05,22
2020-06,13
2020-07,14
2020-08,16
2020-09,13
