MONTH,UE_BENEFITS_WEB_SEARCH,UNRATE
2004-01,9,5.7
2004-02,8,5.6
2004-03,7,5.8
2004-04,8,5.6
2004-05,6,5.6
2004-06,7,5.6
2004-07,7,5.5
2004-08,7,5.4
2004-09,6,5.4
2004-10,6,5.5
2004-11,6,5.4
2004-12,6,5.4
2005-01,7,5.3
2005-02,6,5.4
2005-03,6,5.2
2005-04,6,5.2
2005-05,5,5.1
2005-06,6,5.0
2005-07,7,5.0
2005-08,7,4.9
2005-09,6,5.0
2005-10,5,5.0
2005-11,5,5.0
2005-12,5,4.9
2006-01,6,4.7
2006-02,6,4.8
2006-03,5,4.7
2006-04,5,4.7
2006-05,6,4.6
2006-06,6,4.6
2006-07,6,4.7
2006-08,6,4.7
2006-09,5,4.5
2006-10,5,4.4
2006-11,6,4.5
2006-12,6,4.4
2007-01,8,4.6
2007-02,7,4.5
2007-03,6,4.4
2007-04,6,4.5
2007-05,6,4.4
2007-06,7,4.6
2007-07,7,4.7
2007-08,7,4.6
2007-09,6,4.7
2007-10,7,4.7
2007-11,6,4.7
2007-12,7,5.0
2008-01,10,5.0
2008-02,8,4.9
2008-03,8,5.1
2008-04,8,5.0
2008-05,8,5.4
2008-06,10,5.6
2008-07,10,5.8
2008-08,10,6.1
2008-09,12,6.1
2008-10,14,6.5
2008-11,18,6.8
2008-12,19,7.3
2009-01,25,7.8
2009-02,26,8.3
2009-03,22,8.7
2009-04,20,9.0
2009-05,19,9.4
2009-06,20,9.5
2009-07,21,9.5
2009-08,22,9.6
2009-09,20,9.8
2009-10,21,10.0
2009-11,23,9.9
2009-12,19,9.9
2010-01,20,9.8
2010-02,18,9.8
2010-03,20,9.9
2010-04,18,9.9
2010-05,16,9.6
2010-06,21,9.4
2010-07,25,9.4
2010-08,15,9.5
2010-09,13,9.5
2010-10,13,9.4
2010-11,14,9.8
2010-12,18,9.3
2011-01,17,9.1
2011-02,13,9.0
2011-03,12,9.0
2011-04,12,9.1
2011-05,12,9.0
2011-06,13,9.1
2011-07,12,9.0
2011-08,13,9.0
2011-09,12,9.0
2011-10,12,8.8
2011-11,11,8.6
2011-12,12,8.5
2012-01,13,8.3
2012-02,11,8.3
2012-03,10,8.2
2012-04,10,8.2
2012-05,10,8.2
2012-06,10,8.2
2012-07,11,8.2
2012-08,9,8.1
2012-09,10,7.8
2012-10,10,7.8
2012-11,11,7.7
2012-12,13,7.9
2013-01,14,8.0
2013-02,9,7.7
2013-03,9,7.5
2013-04,9,7.6
2013-05,9,7.5
2013-06,9,7.5
2013-07,9,7.3
2013-08,8,7.2
2013-09,8,7.2
2013-10,10,7.2
2013-11,8,6.9
2013-12,10,6.7
2014-01,18,6.6
2014-02,14,6.7
2014-03,12,6.7
2014-04,11,6.2
2014-05,9,6.3
2014-06,8,6.1
2014-07,7,6.2
2014-08,6,6.1
2014-09,6,5.9
2014-10,6,5.7
2014-11,6,5.8
2014-12,5,5.6
2015-01,6,5.7
2015-02,6,5.5
2015-03,5,5.4
2015-04,5,5.4
2015-05,4,5.6
2015-06,5,5.3
2015-07,5,5.2
2015-08,5,5.1
2015-09,5,5.0
2015-10,5,5.0
2015-11,5,5.1
2015-12,5,5.0
2016-01,6,4.9
2016-02,5,4.9
2016-03,5,5.0
2016-04,5,5.0
2016-05,5,4.8
2016-06,5,4.9
2016-07,5,4.8
2016-08,5,4.9
2016-09,4,5.0
2016-10,5,4.9
2016-11,4,4.7
2016-12,5,4.7
2017-01,6,4.7
2017-02,5,4.6
2017-03,5,4.4
2017-04,4,4.4
2017-05,4,4.4
2017-06,4,4.3
2017-07,5,4.3
2017-08,5,4.4
2017-09,5,4.2
2017-10,4,4.1
2017-11,4,4.2
2017-12,5,4.1
2018-01,6,4.1
2018-02,5,4.1
2018-03,4,4.0
2018-04,4,4.0
2018-05,4,3.8
2018-06,4,4.0
2018-07,4,3.8
2018-08,4,3.8
2018-09,4,3.7
2018-10,4,3.8
2018-11,4,3.7
2018-12,5,3.9
2019-01,6,4.0
2019-02,5,3.8
2019-03,4,3.8
2019-04,4,3.6
2019-05,4,3.6
2019-06,4,3.7
2019-07,5,3.7
2019-08,4,3.7
2019-09,4,3.5
2019-10,4,3.6
2019-11,4,3.5
2019-12,5,3.5
2020-01,5,3.6
2020-02,5,3.5
2020-03,47,4.4
2020-04,100,14.7
2020-05,63,13.3
2020-06,53,11.1
2020-07,54,10.2
2020-08,50,8.4
