Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
5293,8/2/1915,The Birth of a Nation,"$110,000","$11,000,000","$10,000,000"
5140,5/9/1916,Intolerance,"$385,907",$0,$0
5230,12/24/1916,"20,000 Leagues Under the Sea","$200,000","$8,000,000","$8,000,000"
5299,9/17/1920,Over the Hill to the Poorhouse,"$100,000","$3,000,000","$3,000,000"
5222,1/1/1925,The Big Parade,"$245,000","$22,000,000","$11,000,000"
4250,12/30/1925,Ben-Hur,"$3,900,000","$9,000,000","$9,000,000"
4630,12/8/1927,Wings,"$2,000,000",$0,$0
5141,1/2/1929,The Broadway Melody,"$379,000","$4,358,000","$2,800,000"
4240,1/1/1930,Hell's Angels,"$4,000,000",$0,$0
5043,12/31/1931,Mata Hari,"$558,000","$900,000","$900,000"
5017,7/4/1933,King Kong,"$672,000","$10,000,650","$10,000,000"
5234,9/2/1933,She Done Him Wrong,"$200,000","$2,000,000","$2,000,000"
5120,9/3/1933,42nd Street,"$439,000","$2,281,000","$1,438,000"
5154,1/1/1934,It Happened One Night,"$325,000","$2,500,000","$2,500,000"
5025,6/9/1935,Top Hat,"$609,000","$3,202,000","$1,782,000"
4738,5/2/1936,Modern Times,"$1,500,000","$165,049","$163,245"
4768,6/26/1936,San Francisco,"$1,300,000","$5,273,000","$2,868,000"
4814,10/20/1936,"Charge of the Light Brigade, The","$1,200,000",$0,$0
4756,12/21/1937,Snow White and the Seven Dwarfs,"$1,488,000","$184,925,485","$184,925,485"
4570,1/1/1938,Alexander's Ragtime Band,"$2,000,000","$4,000,000","$4,000,000"
4693,1/1/1938,You Can't Take It With You,"$1,644,000","$4,000,000","$4,000,000"
4712,1/1/1939,Mr. Smith Goes To Washington,"$1,500,000","$9,000,000","$9,000,000"
4447,8/25/1939,The Wizard of Oz,"$2,777,000","$33,754,967","$33,711,566"
4248,12/15/1939,Gone with the Wind,"$3,900,000","$390,525,192","$198,680,470"
4556,1/1/1940,Boom Town,"$2,000,000","$9,172,000","$9,172,000"
4783,1/1/1940,Rebecca,"$1,288,000","$6,000,000","$6,000,000"
4524,11/13/1940,Fantasia,"$2,280,000","$83,320,000","$83,320,000"
4789,10/28/1941,How Green Was My Valley,"$1,250,000",$0,$0
4969,8/13/1942,Bambi,"$858,000","$268,000,000","$102,797,000"
5283,11/16/1942,Cat People,"$134,000","$8,000,000","$4,000,000"
4839,1/23/1943,Casablanca,"$1,039,000","$10,462,500","$10,462,500"
4457,12/24/1943,A Guy Named Joe,"$2,627,000","$5,363,000","$5,363,000"
4515,1/1/1944,Bathing Beauty,"$2,361,000","$3,500,000","$3,500,000"
3949,1/8/1944,Wilson,"$5,200,000","$2,000,000","$2,000,000"
4530,1/1/1945,The Valley of Decision,"$2,160,000","$9,132,000","$9,132,000"
4785,1/1/1945,The Lost Weekend,"$1,250,000","$11,000,000","$11,000,000"
4716,10/31/1945,Spellbound,"$1,500,000","$7,000,000","$7,000,000"
4327,1/1/1946,It's a Wonderful Life,"$3,180,000","$9,576,159","$6,600,000"
4545,1/1/1946,Notorious,"$2,000,000","$24,464,742","$24,464,742"
4533,11/21/1946,The Best Years of Our Lives,"$2,100,000","$23,600,000","$23,600,000"
3845,12/31/1946,Duel in the Sun,"$6,000,000","$20,400,000","$20,400,000"
4557,1/1/1947,Gentleman's Agreement,"$2,000,000","$7,800,000","$7,800,000"
4260,1/1/1948,The Pirate,"$3,700,000","$2,956,000","$2,956,000"
4361,1/1/1948,Red River,"$3,000,000","$9,012,000","$9,012,000"
4695,1/1/1949,She Wore a Yellow Ribbon,"$1,600,000","$5,400,000","$5,400,000"
