Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"Samsung LU32J590UQNXZ 32"" 4K UHD 60Hz Monitor",,$499.98,0%,4.3 out of 5 stars,"1,502",https://www.amazon.ca/Samsung-U32J590-32-Inch-LED-Lit-Monitor/dp/B07CS3JGPC/ref=sr_1_5?keywords=4k+monitor&qid=1654371669&sr=8-5
"Asus VP28UQG 28"" 4K/UHD 3840x2160 1ms DP HDMI Adaptive Sync/FreeSync Eye Care Monitor",$329.00,$298.00,-9.42%,4.3 out of 5 stars,"3,020",https://www.amazon.ca/Asus-VP28UQG-3840x2160-Adaptive-FreeSync/dp/B074PK4R2H/ref=sr_1_6?keywords=4k+monitor&qid=1654371669&sr=8-6
Philips Monitors 4K Ultra HD LCD Monitor 276E8VJSB 27-Inch Screen LCD 14700510,$379.99,$339.99,-10.53%,4.3 out of 5 stars,"7,046",https://www.amazon.ca/Philips-Monitors-Monitor-276E8VJSB-14700510/dp/B07JXCR263/ref=sr_1_8?keywords=4k+monitor&qid=1654371669&sr=8-8
"ASUS TUF Gaming VG289Q 28” HDR Gaming Monitor 4K (3840 x 2160) IPS FreeSync Eye Care DisplayPort Dual HDMI HDR 10,BLACK",,$429.99,0%,4.6 out of 5 stars,994,https://www.amazon.ca/Gaming-VG289Q-Monitor-FreeSync-DisplayPort/dp/B0845NXCXF/ref=sr_1_9?keywords=4k+monitor&qid=1654371669&sr=8-9
"ASUS TUF Gaming VG289Q1A 28” HDR Monitor, 4K UHD (3840 x 2160), IPS, Adaptive-Sync/FreeSync, Eye Care, DisplayPort HDMI, DCI-P3 HDR 10, Shadow Boost",,$399.99,0%,4.6 out of 5 stars,351,https://www.amazon.ca/Asus-Gaming-Vg289q1a-Monitor-Adaptive-Syn/dp/B083Z2RPB9/ref=sr_1_10?keywords=4k+monitor&qid=1654371669&sr=8-10
Asus VA32UQ 31.5” HDR Monitor 4K (3840 X 2160) FreeSync Eye Care DisplayPort HDMI HDR10,,$499.99,0%,4.6 out of 5 stars,548,https://www.amazon.ca/Asus-VA32UQ-Monitor-FreeSync-DisplayPort/dp/B07Y5VS144/ref=sr_1_11?keywords=4k+monitor&qid=1654371669&sr=8-11
"Samsung LU32R590CWNXZA 32"" 4K UHD 60Hz Curved Monitor",$548.00,$499.98,-8.76%,4.2 out of 5 stars,"1,168",https://www.amazon.ca/Samsung-Home-Entertainment-LU32R590CWNXZA-Monitor/dp/B07L9G1BFX/ref=sr_1_13?keywords=4k+monitor&qid=1654371669&sr=8-13
"ASUS ProArt Display PA279CV 27” 4K HDR UHD (3840 x 2160) Monitor, IPS, 100% sRGB/Rec. 709, ΔE < 2, USB-C DisplayPort HDMI USB hub, Calman Verified, Eye Care, Tilt Pivot Swivel Height Adjustable",,$664.99,0%,4.2 out of 5 stars,362,https://www.amazon.ca/Asus-PA279CV/dp/B08K2GFDKM/ref=sr_1_14?keywords=4k+monitor&qid=1654371669&sr=8-14
"SAMSUNG 28 inch Gaming Monitor 144hz 1ms, 4K IPS Monitor, G-Sync, HDR 400, CoreSync, Monitor Adjustable Height, Odyssey G7, G70A (LS28AG700NNXZA)",,$994.84,0%,4.3 out of 5 stars,"11,631",https://www.amazon.ca/SAMSUNG-Monitor-CoreSync-Adjustable-LS28AG700NNXZA/dp/B096YPN52D/ref=sr_1_15?keywords=4k+monitor&qid=1654371669&sr=8-15
"Philips 278E1A 27"" frameless monitor, 4K UHD IPS, 109% sRGB, Speakers, VESA, 4Yr Advance Replacement Warranty (Renewed)",$361.72,$289.99,-19.83%,4.3 out of 5 stars,54,https://www.amazon.ca/Philips-frameless-Speakers-Replacement-Warranty/dp/B08DX9H7FV/ref=sr_1_16?keywords=4k+monitor&qid=1654371669&sr=8-16
"LG 32UN650-W 31.5 Inch UHD (3840 x 2160) IPS Ultrafine Display with HDR10 Compatibility, DCI-P3 95% Color Gamut, AMD FreeSync, and 3-Side Virtually Borderless Height Adjustable Stand, Silve/White",$649.99,$549.99,-15.38%,4.4 out of 5 stars,437,https://www.amazon.ca/LG-32UN650-W-Compatibility-Borderless-Adjustable/dp/B08FQ42MN1/ref=sr_1_17?keywords=4k+monitor&qid=1654371669&sr=8-17
"LG 43UN700-B 43 Inch UHD (3840 X 2160) IPS Display with USB Type-C, 4 HDMI Inputs and HDR10, Black",,$879.99,0%,4.4 out of 5 stars,606,https://www.amazon.ca/LG-43UN700-B-Display-Type-C-Inputs/dp/B0821WWXV6/ref=sr_1_19?keywords=4k+monitor&qid=1654371669&sr=8-19
"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",$449.99,$349.99,-22.22%,4.5 out of 5 stars,"4,485",https://www.amazon.ca/LG-27UL500-W-27-Inch-Freesync-Technology/dp/B07PGL2WVS/ref=sr_1_20?keywords=4k+monitor&qid=1654371669&sr=8-20
